,name,right_ascension,declination,apparent_magnitude,distance (ly),link,parent_constellation
281,Zeta Aquarii,22h 28m 49.80s,-00° 01′ 12.2″,3.65,103,/wiki/Zeta_Aquarii,Aquarius
282,88 Aquarii,23h 09m 26.76s,-21° 10′ 20.9″,3.68,234,/wiki/88_Aquarii,Aquarius
283,Lambda Aquarii,22h 52m 36.86s,-07° 34′ 46.8″,3.73,391,/wiki/Lambda_Aquarii,Aquarius
284,Epsilon Aquarii,20h 47m 40.53s,-09° 29′ 44.5″,3.78,229,/wiki/Epsilon_Aquarii,Aquarius
285,Gamma Aquarii,22h 21m 39.30s,-01° 23′ 14.5″,3.86,158,/wiki/Gamma_Aquarii,Aquarius
286,98 Aquarii,23h 22m 58.30s,-20° 06′ 01.2″,3.96,162,/wiki/98_Aquarii,Aquarius
287,Eta Aquarii,22h 35m 21.33s,-00° 07′ 02.5″,4.04,183,/wiki/Eta_Aquarii,Aquarius
288,Tau2 Aquarii,22h 49m 35.51s,-13° 35′ 33.1″,4.05,380,/wiki/Tau2_Aquarii,Aquarius
289,Theta Aquarii,22h 16m 49.97s,-07° 46′ 59.7″,4.17,191,/wiki/Theta_Aquarii,Aquarius
290,Phi Aquarii,23h 14m 19.33s,-06° 02′ 54.7″,4.22,222,/wiki/Phi_Aquarii,Aquarius
291,Psi1 Aquarii,23h 15m 53.28s,-09° 05′ 15.7″,4.24,148,/wiki/Psi1_Aquarii,Aquarius
292,Iota Aquarii,22h 06m 26.21s,-13° 52′ 10.3″,4.29,172,/wiki/Iota_Aquarii,Aquarius
293,99 Aquarii,23h 26m 02.82s,-20° 38′ 30.7″,4.38,308,/wiki/99_Aquarii,Aquarius
294,Psi2 Aquarii,23h 17m 54.20s,-09° 10′ 57.0″,4.41,322,/wiki/Psi2_Aquarii,Aquarius
295,Zeta Aquarii,22h 28m 50.10s,-00° 01′ 12.0″,4.42,251,/wiki/Zeta_Aquarii,Aquarius
296,3 Aquarii,20h 47m 44.24s,-05° 01′ 39.4″,4.43,445,/wiki/3_Aquarii,Aquarius
297,86 Aquarii,23h 06m 40.81s,-23° 44′ 35.2″,4.48,188,/wiki/86_Aquarii,Aquarius
298,Omega2 Aquarii,23h 42m 43.28s,-14° 32′ 41.1″,4.49,154,/wiki/Omega2_Aquarii,Aquarius
299,Nu Aquarii,21h 09m 35.59s,-11° 22′ 18.0″,4.5,164,/wiki/Nu_Aquarii,Aquarius
300,Xi Aquarii,21h 37m 45.04s,-07° 51′ 14.9″,4.68,179,/wiki/Xi_Aquarii,Aquarius
301,66 Aquarii,22h 43m 35.25s,-18° 49′ 49.1″,4.68,484,/wiki/66_Aquarii,Aquarius
302,101 Aquarii,23h 33m 16.63s,-20° 54′ 52.3″,4.7,320,/wiki/101_Aquarii,Aquarius
303,89 Aquarii,23h 09m 54.88s,-22° 27′ 27.3″,4.71,521,/wiki/89_Aquarii,Aquarius
304,Mu Aquarii,20h 52m 39.21s,-08° 58′ 59.7″,4.73,155,/wiki/Mu_Aquarii,Aquarius
305,Omicron Aquarii,22h 03m 18.83s,-02° 09′ 19.2″,4.74,381,/wiki/Omicron_Aquarii,Aquarius
306,Pi Aquarii,22h 25m 16.61s,+01° 22′ 38.6″,4.8,1101,/wiki/Pi_Aquarii,Aquarius
307,Sigma Aquarii,22h 30m 38.82s,-10° 40′ 40.4″,4.82,265,/wiki/Sigma_Aquarii,Aquarius
308,104 Aquarii,23h 41m 45.80s,-17° 48′ 59.5″,4.82,643,/wiki/104_Aquarii,Aquarius
309,Chi Aquarii,23h 16m 50.95s,-07° 43′ 35.3″,4.93,640,/wiki/Chi_Aquarii,Aquarius
310,Omega1 Aquarii,23h 39m 47.04s,-14° 13′ 19.4″,4.97,134,/wiki/Omega1_Aquarii,Aquarius
311,Psi³ Aquarii,23h 18m 57.65s,-09° 36′ 38.6″,4.99,249,/wiki/Psi%C2%B3_Aquarii,Aquarius
312,Kappa Aquarii,22h 37m 45.42s,-04° 13′ 39.9″,5.04,234,/wiki/Kappa_Aquarii,Aquarius
313,25 Aquarii,21h 39m 33.28s,+02° 14′ 37.5″,5.1,241,/wiki/25_Aquarii,Aquarius
314,47 Aquarii,22h 21m 35.58s,-21° 35′ 52.9″,5.12,183,/wiki/47_Aquarii,Aquarius
315,1 Aquarii,20h 39m 24.83s,+00° 29′ 11.4″,5.15,245,/wiki/1_Aquarii,Aquarius
316,108 Aquarii,23h 51m 21.32s,-18° 54′ 33.0″,5.17,321,/wiki/108_Aquarii,Aquarius
317,94 Aquarii,23h 19m 06.37s,-13° 27′ 17.0″,5.19,69,/wiki/94_Aquarii,Aquarius
318,97 Aquarii,23h 22m 39.10s,-15° 02′ 21.8″,5.19,237,/wiki/97_Aquarii,Aquarius
319,94 Aquarii,23h 19m 06.51s,-13° 27′ 30.4″,5.2,69,/wiki/94_Aquarii,Aquarius
320,Upsilon Aquarii,22h 34m 41.50s,-20° 42′ 28.3″,5.21,74,/wiki/Upsilon_Aquarii,Aquarius
321,68 Aquarii,22h 47m 33.19s,-19° 36′ 46.3″,5.24,266,/wiki/68_Aquarii,Aquarius
322,106 Aquarii,23h 44m 12.06s,-18° 16′ 36.9″,5.24,331,/wiki/106_Aquarii,Aquarius
323,Unnamed Star,23h 42m 27.81s,-15° 26′ 52.7″,5.27,280,,Aquarius
324,107 Aquarii,23h 46m 00.84s,-18° 40′ 42.1″,5.28,212,/wiki/107_Aquarii,Aquarius
325,32 Aquarii,22h 04m 47.43s,-00° 54′ 22.5″,5.29,231,/wiki/32_Aquarii,Aquarius
326,41 Aquarii,22h 14m 18.02s,-21° 04′ 28.9″,5.33,281,/wiki/41_Aquarii,Aquarius
327,42 Aquarii,22h 16m 48.04s,-12° 49′ 53.2″,5.34,484,/wiki/42_Aquarii,Aquarius
328,Rho Aquarii,22h 20m 11.91s,-07° 49′ 16.0″,5.35,743,/wiki/Rho_Aquarii,Aquarius
329,103 Aquarii,23h 41m 34.51s,-18° 01′ 36.8″,5.36,584,/wiki/103_Aquarii,Aquarius
330,38 Aquarii,22h 10m 37.46s,-11° 33′ 53.9″,5.43,561,/wiki/38_Aquarii,Aquarius
331,83 Aquarii,23h 05m 09.71s,-07° 41′ 37.7″,5.44,188,/wiki/83_Aquarii,Aquarius
332,18 Aquarii,21h 24m 11.44s,-12° 52′ 41.3″,5.48,157,/wiki/18_Aquarii,Aquarius
333,21 Aquarii,21h 25m 16.96s,-03° 33′ 23.7″,5.48,408,/wiki/21_Aquarii,Aquarius
334,7 Aquarii,20h 56m 54.03s,-09° 41′ 51.1″,5.49,601,/wiki/7_Aquarii,Aquarius
335,12 Aquarii,21h 04m 04.58s,-05° 49′ 24.2″,7.31,,/wiki/12_Aquarii,Aquarius
336,49 Aquarii,22h 23m 30.79s,-24° 45′ 45.6″,5.53,272,/wiki/49_Aquarii,Aquarius
337,77 Aquarii,22h 54m 45.60s,-16° 16′ 18.3″,5.53,140,/wiki/77_Aquarii,Aquarius
338,5 Aquarii,20h 52m 08.69s,-05° 30′ 25.4″,5.55,753,/wiki/5_Aquarii,Aquarius
339,30 Aquarii,22h 03m 16.43s,-06° 31′ 20.7″,5.55,271,/wiki/30_Aquarii,Aquarius
340,53 Aquarii,22h 26m 34.15s,-16° 44′ 31.7″,5.55,65,/wiki/53_Aquarii,Aquarius
341,Unnamed Star,23h 15m 34.26s,-03° 29′ 46.9″,5.56,231,,Aquarius
342,96 Aquarii,23h 19m 23.86s,-05° 07′ 27.5″,5.56,114,/wiki/96_Aquarii,Aquarius
343,28 Aquarii,22h 01m 05.01s,+00° 36′ 17.1″,5.6,661,/wiki/28_Aquarii,Aquarius
344,26 Aquarii,21h 42m 10.12s,+01° 17′ 07.0″,5.66,1583,/wiki/26_Aquarii,Aquarius
345,HD 222093,23h 37m 39.54s,-13° 03′ 37.1″,5.66,283,/wiki/HD_222093,Aquarius
346,Tau1 Aquarii,22h 47m 42.75s,-14° 03′ 23.1″,5.68,260,/wiki/Tau1_Aquarii,Aquarius
347,Unnamed Star,23h 50m 33.26s,-14° 24′ 05.2″,5.7,460,,Aquarius
348,19 Aquarii,21h 25m 13.02s,-09° 44′ 53.3″,5.71,276,/wiki/19_Aquarii,Aquarius
349,Unnamed Star,21h 54m 10.34s,-04° 16′ 33.4″,5.71,291,,Aquarius
350,HD 216718,22h 55m 10.94s,-04° 59′ 16.4″,5.72,293,/wiki/HD_216718,Aquarius
351,Unnamed Star,23h 47m 15.94s,-11° 54′ 39.2″,5.74,346,,Aquarius
352,44 Aquarii,22h 17m 06.50s,-05° 23′ 14.0″,5.75,341,/wiki/44_Aquarii,Aquarius
353,50 Aquarii,22h 24m 27.03s,-13° 31′ 45.9″,5.76,542,/wiki/50_Aquarii,Aquarius
354,Unnamed Star,23h 52m 50.49s,-08° 59′ 48.1″,5.76,612,,Aquarius
355,Unnamed Star,21h 35m 17.63s,-03° 58′ 59.9″,5.79,441,,Aquarius
356,51 Aquarii,22h 24m 06.87s,-04° 50′ 13.2″,5.79,424,/wiki/51_Aquarii,Aquarius
357,35 Aquarii,22h 08m 58.99s,-18° 31′ 10.5″,5.8,6792,/wiki/35_Aquarii,Aquarius
358,HD 211392,22h 16m 52.60s,-09° 02′ 24.1″,5.8,351,/wiki/HD_211392,Aquarius
359,74 Aquarii,22h 53m 28.69s,-11° 36′ 59.5″,5.8,657,/wiki/74_Aquarii,Aquarius
360,15 Aquarii,21h 18m 11.07s,-04° 31′ 10.2″,5.83,979,/wiki/15_Aquarii,Aquarius
361,Unnamed Star,23h 52m 30.05s,-14° 15′ 04.3″,5.85,286,,Aquarius
362,Unnamed Star,20h 50m 41.70s,-12° 32′ 41.0″,5.87,250,,Aquarius
363,16 Aquarii,21h 21m 04.33s,-04° 33′ 36.5″,5.87,336,/wiki/16_Aquarii,Aquarius
364,60 Aquarii,22h 34m 02.89s,-01° 34′ 27.0″,5.88,444,/wiki/60_Aquarii,Aquarius
365,12 Aquarii,21h 04m 04.74s,-05° 49′ 23.08″,5.89,541,/wiki/12_Aquarii,Aquarius
366,Unnamed Star,23h 41m 08.87s,-11° 40′ 50.4″,5.89,379,,Aquarius
367,Unnamed Star,22h 23m 32.15s,-07° 11′ 40.0″,5.92,466,,Aquarius
368,Unnamed Star,23h 50m 14.65s,-09° 58′ 27.6″,5.93,307,,Aquarius
369,Unnamed Star,23h 01m 31.70s,-04° 42′ 41.3″,5.94,1011,,Aquarius
370,DV Aquarii,20h 58m 41.87s,-14° 28′ 59.1″,5.95,276,/wiki/DV_Aquarii,Aquarius
371,Unnamed Star,23h 34m 49.33s,-15° 14′ 44.9″,5.95,351,,Aquarius
372,45 Aquarii,22h 19m 00.70s,-13° 18′ 17.9″,5.96,354,/wiki/45_Aquarii,Aquarius
373,Unnamed Star,23h 19m 24.11s,-18° 04′ 31.4″,5.96,1116,,Aquarius
374,Unnamed Star,22h 35m 36.36s,-23° 59′ 27.9″,5.97,337,,Aquarius
375,Unnamed Star,23h 02m 44.29s,-20° 52′ 13.4″,5.97,251,,Aquarius
376,HD 210434,22h 10m 33.70s,-04° 16′ 00.7″,5.98,282,/wiki/HD_210434,Aquarius
377,4 Aquarii,20h 51m 25.69s,-05° 37′ 35.9″,5.99,192,/wiki/4_Aquarii,Aquarius
378,17 Aquarii,21h 22m 56.27s,-09° 19′ 09.4″,5.99,720,/wiki/17_Aquarii,Aquarius
379,39 Aquarii,22h 12m 25.74s,-14° 11′ 37.8″,6.04,142,/wiki/39_Aquarii,Aquarius
380,HD 199442,20h 57m 10.57s,+00° 27′ 50.2″,6.06,318,/wiki/HD_199442,Aquarius
381,HD 223311,23h 48m 32.48s,-06° 22′ 49.4″,6.09,723,/wiki/HD_223311,Aquarius
382,Unnamed Star,22h 11m 02.30s,-21° 13′ 57.7″,6.1,185,,Aquarius
383,Unnamed Star,21h 26m 27.99s,+01° 06′ 13.5″,6.12,156,,Aquarius
384,Unnamed Star,22h 59m 35.68s,-13° 04′ 15.2″,6.12,656,,Aquarius
385,Unnamed Star,23h 14m 40.18s,-10° 41′ 19.1″,6.13,836,,Aquarius
386,HD 213429,22h 31m 18.22s,-06° 33′ 17.6″,6.15,83,/wiki/HD_213429,Aquarius
387,Unnamed Star,22h 31m 18.42s,-02° 54′ 40.3″,6.15,473,,Aquarius
388,HD 218061,23h 05m 12.88s,-17° 04′ 44.9″,6.15,552,/wiki/HD_218061,Aquarius
389,Unnamed Star,22h 16m 33.67s,-01° 35′ 46.9″,6.16,262,,Aquarius
390,Unnamed Star,21h 47m 38.20s,-05° 55′ 00.6″,6.17,256,,Aquarius
391,Unnamed Star,22h 16m 59.79s,-23° 08′ 24.4″,6.17,519,,Aquarius
392,HD 220035,23h 20m 40.95s,-05° 54′ 28.2″,6.17,400,/wiki/HD_220035,Aquarius
393,82 Aquarii,23h 02m 32.56s,-06° 34′ 26.1″,6.18,1240,/wiki/82_Aquarii,Aquarius
394,Unnamed Star,23h 24m 07.76s,-18° 41′ 17.2″,6.18,367,,Aquarius
395,70 Aquarii,22h 48m 30.19s,-10° 33′ 19.8″,6.19,377,/wiki/70_Aquarii,Aquarius
396,78 Aquarii,22h 54m 34.13s,-07° 12′ 16.3″,6.2,609,/wiki/78_Aquarii,Aquarius
397,Unnamed Star,23h 29m 00.69s,-09° 15′ 57.7″,6.2,2203,,Aquarius
398,11 Aquarii,21h 00m 33.81s,-04° 43′ 47.7″,6.21,86,/wiki/11_Aquarii,Aquarius
399,Unnamed Star,23h 49m 31.58s,-15° 51′ 40.3″,6.21,424,,Aquarius
400,HD 205765,21h 37m 33.77s,-00° 23′ 25.8″,6.22,399,/wiki/HD_205765,Aquarius
401,Unnamed Star,20h 39m 13.25s,-02° 24′ 46.7″,6.23,1230,,Aquarius
402,HD 214448,22h 38m 22.10s,-07° 53′ 51.2″,6.23,459,/wiki/HD_214448,Aquarius
403,81 Aquarii,23h 01m 23.65s,-07° 03′ 40.1″,6.23,418,/wiki/81_Aquarii,Aquarius
404,Unnamed Star,23h 53m 20.81s,-24° 13′ 45.2″,6.23,300,,Aquarius
405,Unnamed Star,20h 49m 17.25s,-00° 33′ 47.8″,6.24,942,,Aquarius
406,HD 200375,21h 03m 03.09s,+01° 31′ 55.9″,6.24,215,/wiki/HD_200375,Aquarius
407,HD 208177,21h 54m 35.90s,-03° 18′ 04.3″,6.24,227,/wiki/HD_208177,Aquarius
408,Unnamed Star,21h 58m 54.99s,-04° 22′ 21.0″,6.24,117,,Aquarius
409,100 Aquarii,23h 31m 42.04s,-21° 22′ 10.0″,6.24,261,/wiki/100_Aquarii,Aquarius
410,HD 221148,23h 29m 31.98s,-04° 31′ 55.9″,6.26,159,/wiki/HD_221148,Aquarius
411,Unnamed Star,21h 10m 46.87s,-09° 21′ 14.2″,6.27,346,,Aquarius
412,Unnamed Star,23h 01m 23.03s,-22° 47′ 27.0″,6.27,327,,Aquarius
413,Unnamed Star,20h 47m 03.57s,-02° 29′ 12.7″,6.28,787,,Aquarius
414,Unnamed Star,22h 02m 11.78s,-17° 54′ 12.0″,6.28,277,,Aquarius
415,Unnamed Star,22h 10m 21.10s,-03° 53′ 38.3″,6.28,362,,Aquarius
416,LP Aquarii,22h 42m 05.99s,-05° 06′ 06.6″,6.28,1336,/wiki/LP_Aquarii,Aquarius
417,Unnamed Star,22h 26m 10.70s,-23° 40′ 56.8″,6.29,495,,Aquarius
418,Unnamed Star,22h 57m 17.21s,-04° 48′ 36.3″,6.31,413,,Aquarius
419,HD 214810,22h 40m 47.96s,-03° 33′ 14.9″,6.32,109,/wiki/HD_214810,Aquarius
420,Unnamed Star,21h 58m 13.28s,-05° 25′ 28.8″,6.33,181,,Aquarius
421,HD 219659,23h 17m 40.06s,-11° 42′ 46.6″,6.33,389,/wiki/HD_219659,Aquarius
422,Unnamed Star,21h 04m 45.32s,+02° 16′ 11.8″,6.34,388,,Aquarius
423,53 Aquarii,22h 26m 34.40s,-16° 44′ 33.0″,6.35,,/wiki/53_Aquarii,Aquarius
424,Unnamed Star,22h 09m 28.94s,-23° 39′ 32.8″,6.36,514,,Aquarius
425,56 Aquarii,22h 30m 17.33s,-14° 35′ 08.3″,6.36,633,/wiki/56_Aquarii,Aquarius
426,Unnamed Star,22h 55m 30.57s,-20° 08′ 21.7″,6.36,695,,Aquarius
427,R Aquarii,23h 43m 49.50s,-15° 17′ 04.0″,6.36,643,/wiki/R_Aquarii,Aquarius
428,Unnamed Star,22h 54m 05.60s,-19° 10′ 30.5″,6.37,481,,Aquarius
429,Unnamed Star,23h 28m 05.14s,-11° 26′ 58.9″,6.37,369,,Aquarius
430,Unnamed Star,20h 53m 05.57s,-11° 34′ 25.5″,6.38,147,,Aquarius
431,HD 202259,21h 14m 37.03s,+00° 05′ 32.2″,6.38,685,/wiki/HD_202259,Aquarius
432,20 Aquarii,21h 24m 51.68s,-03° 23′ 53.6″,6.38,213,/wiki/20_Aquarii,Aquarius
433,Unnamed Star,23h 38m 02.98s,-15° 05′ 41.4″,6.38,338,,Aquarius
434,29 Aquarii,22h 02m 26.25s,-16° 57′ 53.4″,6.39,471,/wiki/29_Aquarii,Aquarius
435,Unnamed Star,22h 12m 43.89s,-04° 43′ 14.1″,6.39,305,,Aquarius
436,HD 211575,22h 18m 04.30s,-00° 14′ 15.1″,6.39,135,/wiki/HD_211575,Aquarius
437,58 Aquarii,22h 31m 41.28s,-10° 54′ 19.7″,6.39,225,/wiki/58_Aquarii,Aquarius
438,61 Aquarii,22h 35m 48.82s,-17° 27′ 37.1″,6.39,465,/wiki/61_Aquarii,Aquarius
439,Unnamed Star,23h 31m 01.15s,-06° 17′ 16.8″,6.39,2433,,Aquarius
440,67 Aquarii,22h 43m 14.25s,-06° 57′ 46.5″,6.4,368,/wiki/67_Aquarii,Aquarius
441,Unnamed Star,23h 35m 32.07s,-07° 27′ 52.1″,6.4,453,,Aquarius
442,Unnamed Star,21h 17m 13.54s,-13° 16′ 44.3″,6.41,609,,Aquarius
443,Unnamed Star,21h 34m 42.76s,+01° 49′ 45.1″,6.41,1552,,Aquarius
444,Unnamed Star,22h 30m 01.39s,-12° 54′ 54.4″,6.41,264,,Aquarius
445,Unnamed Star,23h 09m 49.53s,-14° 30′ 37.9″,6.43,345,,Aquarius
446,Unnamed Star,23h 26m 35.44s,-21° 44′ 27.0″,6.43,396,,Aquarius
447,Unnamed Star,20h 53m 58.37s,-06° 53′ 21.9″,6.44,230,,Aquarius
448,14 Aquarii,21h 16m 17.78s,-09° 12′ 52.8″,6.45,1831,/wiki/14_Aquarii,Aquarius
449,Unnamed Star,21h 25m 51.55s,+00° 32′ 03.5″,6.45,284,,Aquarius
450,HD 215114,22h 43m 03.40s,-08° 18′ 41.2″,6.45,617,/wiki/HD_215114,Aquarius
451,Unnamed Star,20h 39m 05.86s,-04° 55′ 46.2″,6.46,234,,Aquarius
452,Unnamed Star,23h 24m 04.02s,-21° 46′ 27.2″,6.46,204,,Aquarius
453,EW Aquarii,21h 11m 41.31s,-14° 28′ 20.6″,6.47,439,/wiki/EW_Aquarii,Aquarius
454,Unnamed Star,21h 16m 39.46s,-01° 36′ 27.8″,6.48,845,,Aquarius
455,Unnamed Star,21h 02m 59.62s,-00° 55′ 29.1″,6.5,1455,,Aquarius
456,Unnamed Star,23h 31m 31.40s,-04° 05′ 13.0″,6.5,86,,Aquarius
457,Unnamed Star,21h 00m 32.660s,-05° 28′ 38.46″,6.52,400,#cite_note-TYC2-8,Aquarius
458,Unnamed Star,21h 01m 08.33321s,-13° 31′ 47.9702″,6.55,700,#cite_note-HIP-11,Aquarius
459,HD 210277,22h 09m 29.87s,-07° 32′ 55.2″,6.63,69,/wiki/HD_210277,Aquarius
460,Unnamed Star,22h 10m 31.74s,-10° 49′ 13.7″,6.64,444,#cite_note-mk-14,Aquarius
461,24 Aquarii,21h 39m 31.39s,-00° 03′ 04.1″,6.66,141,/wiki/24_Aquarii,Aquarius
462,8 Aquarii,20h 59m 54.82678s,-13° 03′ 05.8699″,6.6,290,/wiki/8_Aquarii,Aquarius
463,Unnamed Star,23h 05m 52.53078s,-07° 56′ 12.1660″,6.69,,#cite_note-17,Aquarius
464,Unnamed Star,22h 54m 07.12256s,-12° 11′ 25.5328″,6.86,,#cite_note-18,Aquarius
465,Unnamed Star,22h 26m 41.66612s,-11° 13′ 41.5205″,6.98,270,,Aquarius
466,Unnamed Star,22h 09m 26.87980s,-08° 11′ 08.6206″,6.98,520,/wiki/Giant_star,Aquarius
467,Unnamed Star,22h 50m 46.30141s,-07° 18′ 42.9276″,7.0,,#cite_note-19,Aquarius
468,Unnamed Star,22h 43m 01.21581s,-10° 06′ 09.6755″,7.04,,#cite_note-SIMBAD-20,Aquarius
469,Unnamed Star,23h 05m 18.51768s,-07° 45′ 16.8614″,7.08,,#cite_note-21,Aquarius
470,Unnamed Star,23h 07m 11.70181s,-07° 41′ 40.4985″,7.37,,#cite_note-22,Aquarius
471,HD 212771,22h 27m 03.07s,-17° 15′ 49.2″,7.6,397,/wiki/HD_212771,Aquarius
472,HD 222582,23h 41m 51.53s,-05° 59′ 08.7″,7.7,137,/wiki/HD_222582,Aquarius
473,HD 220689,23h 25m 53s,-20° 36′ 58″,7.77,145,/wiki/HD_220689,Aquarius
474,Unnamed Star,23h 00m 16.12s,-22° 31′ 27.65″,7.87,26.8,,Aquarius
494,Altair,19h 50m 46.68s,+08° 52′ 02.6″,0.76,17,/wiki/Altair,Aquila
495,Gamma Aquilae,19h 46m 15.57s,+10° 36′ 47.8″,2.72,460,/wiki/Gamma_Aquilae,Aquila
496,Zeta Aquilae,19h 05m 24.61s,+13° 51′ 49.4″,2.99,83,/wiki/Zeta_Aquilae,Aquila
497,Theta Aquilae,20h 11m 18.26s,-00° 49′ 17.3″,3.24,287,/wiki/Theta_Aquilae,Aquila
498,Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,50,/wiki/Delta_Aquilae,Aquila
499,Lambda Aquilae,19h 06m 14.95s,-04° 52′ 56.4″,3.43,125,/wiki/Lambda_Aquilae,Aquila
500,Beta Aquilae,19h 55m 18.77s,+06° 24′ 28.6″,3.71,45,/wiki/Beta_Aquilae,Aquila
501,Eta Aquilae,19h 52m 28.36s,+01° 00′ 20.4″,3.87,1173,/wiki/Eta_Aquilae,Aquila
502,Epsilon Aquilae,18h 59m 37.39s,+15° 04′ 06.5″,4.02,154,/wiki/Epsilon_Aquilae,Aquila
503,12 Aquilae,19h 01m 40.84s,-05° 44′ 20.5″,4.02,149,/wiki/12_Aquilae,Aquila
504,71 Aquilae,20h 38m 20.27s,-01° 06′ 18.3″,4.31,384,/wiki/71_Aquilae,Aquila
505,Iota Aquilae,19h 36m 43.28s,-01° 17′ 11.6″,4.36,307,/wiki/Iota_Aquilae,Aquila
506,Mu Aquilae,19h 34m 05.23s,+07° 22′ 45.5″,4.45,111,/wiki/Mu_Aquilae,Aquila
507,Nu Aquilae,19h 26m 31.09s,+00° 20′ 18.9″,4.64,11643,/wiki/Nu_Aquilae,Aquila
508,Xi Aquilae,19h 54m 14.882s,+08° 27′ 41.23″,4.722,204,/wiki/Xi_Aquilae,Aquila
509,69 Aquilae,20h 29m 38.96s,-02° 53′ 07.7″,4.91,191,/wiki/69_Aquilae,Aquila
510,70 Aquilae,20h 36m 43.63s,-02° 32′ 59.7″,4.91,2203,/wiki/70_Aquilae,Aquila
511,Kappa Aquilae,19h 36m 53.45s,-07° 01′ 38.9″,4.93,1455,/wiki/Kappa_Aquilae,Aquila
512,26 Aquilae,19h 20m 32.84s,-05° 24′ 57.1″,4.98,154,/wiki/26_Aquilae,Aquila
513,4 Aquilae,18h 44m 49.93s,+02° 03′ 36.3″,5.02,472,/wiki/4_Aquilae,Aquila
514,36 Aquilae,19h 30m 39.82s,-02° 47′ 19.9″,5.03,502,/wiki/36_Aquilae,Aquila
515,18 Aquilae,19h 06m 58.60s,+11° 04′ 16.7″,5.07,507,/wiki/18_Aquilae,Aquila
516,23 Aquilae,19h 18m 32.49s,+01° 05′ 06.3″,5.1,381,/wiki/23_Aquilae,Aquila
517,37 Aquilae,19h 35m 07.25s,-10° 33′ 37.6″,5.12,444,/wiki/37_Aquilae,Aquila
518,Omicron Aquilae,19h 51m 01.50s,+10° 24′ 57.8″,5.12,63,/wiki/Omicron_Aquilae,Aquila
519,21 Aquilae,19h 13m 42.70s,+02° 17′ 37.4″,5.14,640,/wiki/21_Aquilae,Aquila
520,31 Aquilae,19h 24m 57.77s,+11° 56′ 34.3″,5.17,49,/wiki/31_Aquilae,Aquila
521,Sigma Aquilae,19h 39m 11.64s,+05° 23′ 52.0″,5.18,682,/wiki/Sigma_Aquilae,Aquila
522,19 Aquilae,19h 08m 59.92s,+06° 04′ 24.2″,5.23,142,/wiki/19_Aquilae,Aquila
523,11 Aquilae,18h 59m 05.73s,+13° 37′ 21.2″,5.27,155,/wiki/11_Aquilae,Aquila
524,Omega¹ Aquilae,19h 17m 49.00s,+11° 35′ 43.4″,5.28,422,/wiki/Omega%C2%B9_Aquilae,Aquila
525,Chi Aquilae,19h 42m 34.01s,+11° 49′ 35.8″,5.28,751,/wiki/Chi_Aquilae,Aquila
526,Phi Aquilae,19h 56m 14.23s,+11° 25′ 25.4″,5.28,206,/wiki/Phi_Aquilae,Aquila
527,Unnamed Star,20h 23m 10.71s,+05° 20′ 35.1″,5.3,246,,Aquila
528,FF Aquilae,18h 58m 14.75s,+17° 21′ 39.4″,5.33,2470,/wiki/FF_Aquilae,Aquila
529,20 Aquilae,19h 12m 40.70s,-07° 56′ 22.2″,5.35,1216,/wiki/20_Aquilae,Aquila
530,51 Aquilae,19h 50m 46.80s,-10° 45′ 48.9″,5.38,86,/wiki/51_Aquilae,Aquila
531,14 Aquilae,19h 02m 54.49s,-03° 41′ 56.4″,5.4,499,/wiki/14_Aquilae,Aquila
532,15 Aquilae,19h 04m 57.66s,-04° 01′ 52.9″,5.4,325,/wiki/15_Aquilae,Aquila
533,66 Aquilae,20h 13m 13.87s,-01° 00′ 33.4″,5.44,888,/wiki/66_Aquilae,Aquila
534,42 Aquilae,19h 37m 47.26s,-04° 38′ 51.0″,5.45,105,/wiki/42_Aquilae,Aquila
535,27 Aquilae,19h 20m 35.68s,-00° 53′ 31.8″,5.46,509,/wiki/27_Aquilae,Aquila
536,Tau Aquilae,20h 04m 08.31s,+07° 16′ 40.6″,5.51,527,/wiki/Tau_Aquilae,Aquila
537,28 Aquilae,19h 19m 39.35s,+12° 22′ 28.7″,5.53,347,/wiki/28_Aquilae,Aquila
538,Unnamed Star,19h 29m 22.12s,+14° 35′ 45.9″,5.57,286,,Aquila
539,62 Serpentis,18h 55m 27.44s,+06° 36′ 55.8″,5.58,293,/wiki/62_Serpentis,Aquila
540,HD 180262,19h 15m 20.09s,+15° 05′ 01.2″,5.58,613,/wiki/HD_180262,Aquila
541,22 Aquilae,19h 16m 31.02s,+04° 50′ 05.4″,5.59,546,/wiki/22_Aquilae,Aquila
542,58 Aquilae,19h 54m 44.77s,+00° 16′ 25.2″,5.6,345,/wiki/58_Aquilae,Aquila
543,V1291 Aquilae,19h 53m 18.72s,-03° 06′ 52.2″,5.63,277,/wiki/V1291_Aquilae,Aquila
544,45 Aquilae,19h 40m 43.31s,-00° 37′ 16.7″,5.64,285,/wiki/45_Aquilae,Aquila
545,HD 180555,19h 16m 26.78s,+14° 32′ 40.6″,5.65,372,/wiki/HD_180555,Aquila
546,62 Aquilae,20h 04m 23.15s,-00° 42′ 32.5″,5.67,582,/wiki/62_Aquilae,Aquila
547,Pi Aquilae,19h 48m 42.10s,+11° 48′ 55.0″,5.7,,/wiki/Pi_Aquilae,Aquila
548,57 Aquilae,19h 54m 37.65s,-08° 13′ 38.0″,5.7,335,/wiki/57_Aquilae,Aquila
